title,doi,url,keywords
Données archéométriques de l’agrafe TRIB02N (tribunes) de Notre-Dame de Paris,doi:10.57745/16K3DD,https://doi.org/10.57745/16K3DD,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TRIB01S (tribunes) de Notre-Dame de Paris,doi:10.57745/JQ0M6J,https://doi.org/10.57745/JQ0M6J,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe BFS03 (extérieur de la tour sud) de Notre-Dame de Paris,doi:10.57745/0DYDV9,https://doi.org/10.57745/0DYDV9,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS174 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/EZPZDR,https://doi.org/10.57745/EZPZDR,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS_hc_2 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/JLCOMT,https://doi.org/10.57745/JLCOMT,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe AGT03 (terrasses basses) de Notre-Dame de Paris,doi:10.57745/UVHPPW,https://doi.org/10.57745/UVHPPW,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NS_hc_3 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/PDDHU0,https://doi.org/10.57745/PDDHU0,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSE25 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/PIUXHO,https://doi.org/10.57745/PIUXHO,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe TSE23 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/BOWIOV,https://doi.org/10.57745/BOWIOV,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN_hc_2 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/8O6NCK,https://doi.org/10.57745/8O6NCK,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe AGT01 (terrasses basses) de Notre-Dame de Paris,doi:10.57745/UISFY4,https://doi.org/10.57745/UISFY4,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 238J19 (fenêtres hautes) de Notre-Dame de Paris,doi:10.57745/LWTSOR,https://doi.org/10.57745/LWTSOR,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de l’agrafe NN53 (murs gouttereaux) de Notre-Dame de Paris,doi:10.57745/ZILTFD,https://doi.org/10.57745/ZILTFD,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
Données archéométriques de la barlotière-tirant 208J19 (fenêtres hautes) de Notre-Dame de Paris,doi:10.57745/BJVCIQ,https://doi.org/10.57745/BJVCIQ,Notre-Dame de Paris; Sidérurgie; Architecture gothique; Archéologie médiévale; Métallurgie préhistorique; Archéométrie; Métaux
